jid,var_cahmi,stem,SC_AGE_YEARS,value_on_track,value_emerging
10.22,ClearExp_22,How often can this child explain things they have seen or done so that you know what happened?,3,,
10.22,ClearExp_22,How often can this child explain things they have seen or done so that you know what happened?,4,,
10.22,ClearExp_22,How often can this child explain things they have seen or done so that you know what happened?,5,,
11.22,NameEmotions_22,How often can this child recognize and name their own emotions?,3,,
11.22,NameEmotions_22,How often can this child recognize and name their own emotions?,4,,
11.22,NameEmotions_22,How often can this child recognize and name their own emotions?,5,,
12.22,ShareToys_22,How often does this child share toys or games with other children?,3,,
12.22,ShareToys_22,How often does this child share toys or games with other children?,4,,
12.22,ShareToys_22,How often does this child share toys or games with other children?,5,,
13.22,PlayWell_22,How often does this child play well with other children?,3,,
13.22,PlayWell_22,How often does this child play well with other children?,4,,
13.22,PlayWell_22,How often does this child play well with other children?,5,,
14.22,HurtSad_22,How often does this child show concern when they see others who are hurt or unhappy?,3,,
14.22,HurtSad_22,How often does this child show concern when they see others who are hurt or unhappy?,4,,
14.22,HurtSad_22,How often does this child show concern when they see others who are hurt or unhappy?,5,,
15.22,FocusOn_22,How often can this child focus on a task you give them for at least a few minutes?,3,,
15.22,FocusOn_22,How often can this child focus on a task you give them for at least a few minutes?,4,,
15.22,FocusOn_22,How often can this child focus on a task you give them for at least a few minutes?,5,,
16.22,StartNewAct_22,How often does this child have difficulty when asked to end one activity and start a new activity?,3,,
16.22,StartNewAct_22,How often does this child have difficulty when asked to end one activity and start a new activity?,4,,
16.22,StartNewAct_22,How often does this child have difficulty when asked to end one activity and start a new activity?,5,,
17.22,CalmDownR_22,How often does this child have trouble calming down?,3,,
17.22,CalmDownR_22,How often does this child have trouble calming down?,4,,
17.22,CalmDownR_22,How often does this child have trouble calming down?,5,,
18.22,WaitForTurn_22,How often does this child have difficulty waiting for their turn?,3,,
18.22,WaitForTurn_22,How often does this child have difficulty waiting for their turn?,4,,
18.22,WaitForTurn_22,How often does this child have difficulty waiting for their turn?,5,,
19.22,distracted_22,How often does this child get easily distracted?,3,,
19.22,distracted_22,How often does this child get easily distracted?,4,,
19.22,distracted_22,How often does this child get easily distracted?,5,,
20.22,temperR_22,How often does this child lose their temper?,3,,
20.22,temperR_22,How often does this child lose their temper?,4,,
20.22,temperR_22,How often does this child lose their temper?,5,,
21.22,DrawCircle_22,How well can this child draw a circle?,3,,
21.22,DrawCircle_22,How well can this child draw a circle?,4,,
21.22,DrawCircle_22,How well can this child draw a circle?,5,,
22.22,DrawFace_22,How well can this child draw a face or eyes and mouth?,3,,
22.22,DrawFace_22,How well can this child draw a face or eyes and mouth?,4,,
22.22,DrawFace_22,How well can this child draw a face or eyes and mouth?,5,,
23.22,DrawPerson_22,"How well can this child draw a person with a head, body, arms, and legs?",3,,
23.22,DrawPerson_22,"How well can this child draw a person with a head, body, arms, and legs?",4,,
23.22,DrawPerson_22,"How well can this child draw a person with a head, body, arms, and legs?",5,,
24.22,BounceBall_22,How well can this child bounce a ball for several seconds?,3,,
24.22,BounceBall_22,How well can this child bounce a ball for several seconds?,4,,
24.22,BounceBall_22,How well can this child bounce a ball for several seconds?,5,,
25.22,ChHlthSt_22,In general how would describe this child's health?,3,,
25.22,ChHlthSt_22,In general how would describe this child's health?,4,,
25.22,ChHlthSt_22,In general how would describe this child's health?,5,,
26.22,TeethCond_22,How would you describe the condition of this child's teeth?,3,,
26.22,TeethCond_22,How would you describe the condition of this child's teeth?,4,,
26.22,TeethCond_22,How would you describe the condition of this child's teeth?,5,,
27.22,HCABILITY,"DURING THE PAST 12 MONTHS, how often have this child's health conditions or problems affected their ability to do things other children their age can do?",3,,
27.22,HCABILITY,"DURING THE PAST 12 MONTHS, how often have this child's health conditions or problems affected their ability to do things other children their age can do?",4,,
27.22,HCABILITY,"DURING THE PAST 12 MONTHS, how often have this child's health conditions or problems affected their ability to do things other children their age can do?",5,,
28.22,HCEXTENT,"[If this child has a condition], To what extend do this child's health conditions or problems affect their ability to do things?",3,,
28.22,HCEXTENT,"[If this child has a condition], To what extend do this child's health conditions or problems affect their ability to do things?",4,,
28.22,HCEXTENT,"[If this child has a condition], To what extend do this child's health conditions or problems affect their ability to do things?",5,,
