"","year","jid","domain_2016","domain_2022","var_cahmi","stem"
"32",2026,18.16,"Self-Regulation","Self-Regulation","SimpleInst_16","When he or she is paying attention, how often can this child follow instructions to complete a simple task?"
"33",2026,16.16,"Self-Regulation","Self-Regulation","SitStill1_16","Compared to other children his or her age, how often is this child able to sit still?"
"34",2022,16.22,"Self-Regulation","Self-Regulation","StartNewAct_22","How often does this child have difficulty when asked to end one activity and start a new activity?"
"35",2026,13.16,"Social-Emotional Development","Self-Regulation","temper_16","This child bounces back quickly when things do not go his or her way?"
"36",2022,20.22,"Self-Regulation","Self-Regulation","temperR_22","How often does this child lose their temper?"
"37",2022,18.22,"Self-Regulation","Self-Regulation","WaitForTurn_22","How often does this child have difficulty waiting for their turn?"
"38",2026,17.16,"Self-Regulation","Self-Regulation","WorkToFin_16","How often does this child keep working at something until he or she is finished?"
"39",2026,4.16,"Early Learning Skills","Social-Emotional Development","ClearExp_16","How often can this child explain things he or she has seen or done so that you get a very good idea of what happened?"
"40",2022,10.22,"Social-Emotional Development","Social-Emotional Development","ClearExp_22","How often can this child explain things they have seen or done so that you know what happened?"
"41",2022,15.22,"Social-Emotional Development","Social-Emotional Development","FocusOn_22","How often can this child focus on a task you give them for at least a few minutes?"
"42",2026,14.16,"Social-Emotional Development","Social-Emotional Development","HurtSad_16","How often does this child sho concern when others are hurt or unhappy?"
"43",2022,14.22,"Social-Emotional Development","Social-Emotional Development","HurtSad_22","How often does this child show concern when they see others who are hurt or unhappy?"
"44",2026,12.16,"Social-Emotional Development","Social-Emotional Development","MakeFr3to5_16","Compared to other children his or her age, how much difficulty does this child have making or keeping friends?"
"45",2022,11.22,"Social-Emotional Development","Social-Emotional Development","NameEmotions_22","How often can this child recognize and name their own emotions?"
"46",2026,11.16,"Social-Emotional Development","Social-Emotional Development","PlayWell_16","How often does this child play well with others?"
"47",2022,13.22,"Social-Emotional Development","Social-Emotional Development","PlayWell_22","How often does this child play well with other children?"
"48",2022,12.22,"Social-Emotional Development","Social-Emotional Development","ShareToys_22","How often does this child share toys or games with other children?"
