"","jid","SC_AGE_YEARS","var_cahmi","stem"
"63",21.22,5,"DrawCircle_22","How well can this child draw a circle?"
"64",22.22,3,"DrawFace_22","How well can this child draw a face or eyes and mouth?"
"65",22.22,4,"DrawFace_22","How well can this child draw a face or eyes and mouth?"
"66",22.22,5,"DrawFace_22","How well can this child draw a face or eyes and mouth?"
"67",23.22,3,"DrawPerson_22","How well can this child draw a person with a head, body, arms, and legs?"
"68",23.22,4,"DrawPerson_22","How well can this child draw a person with a head, body, arms, and legs?"
"69",23.22,5,"DrawPerson_22","How well can this child draw a person with a head, body, arms, and legs?"
"70",24.22,3,"BounceBall_22","How well can this child bounce a ball for several seconds?"
"71",24.22,4,"BounceBall_22","How well can this child bounce a ball for several seconds?"
"72",24.22,5,"BounceBall_22","How well can this child bounce a ball for several seconds?"
"73",25.22,3,"K2Q01","In general how would describe this child's health?"
"74",25.22,4,"K2Q01","In general how would describe this child's health?"
"75",25.22,5,"K2Q01","In general how would describe this child's health?"
"76",26.22,3,"K2Q01_D","How would you describe the condition of this child's teeth?"
"77",26.22,4,"K2Q01_D","How would you describe the condition of this child's teeth?"
"78",26.22,5,"K2Q01_D","How would you describe the condition of this child's teeth?"
"79",27.22,3,"DailyAct_22","DURING THE PAST 12 MONTHS, how often have this child's health conditions or problems affected their ability to do things other children their age can do? AND To what extend do this child's health conditions or porblems affect their ability to do things?"
"80",27.22,4,"DailyAct_22","DURING THE PAST 12 MONTHS, how often have this child's health conditions or problems affected their ability to do things other children their age can do? AND To what extend do this child's health conditions or porblems affect their ability to do things?"
"81",27.22,5,"DailyAct_22","DURING THE PAST 12 MONTHS, how often have this child's health conditions or problems affected their ability to do things other children their age can do? AND To what extend do this child's health conditions or porblems affect their ability to do things?"
